CHAVE;EMPRESA;ANO;MES;DATA;CLIENTE;DOC;PRODUTO;QTD;PRECO;VALOR;DESC;CAIXA;FORMA;TIPO;VENDEDOR;GRUPO;SUBGRUPO
;T CASA 01 - Matriz;2025;5;31/05/2025;VENDA CONSUMIDOR;3216;TINTA EPOXI BASE AGUA BRANCO NEVE;2;187,21;374,42;0;1;CARTÃO;CUPOM MANUAL;HC MARCELO;TINTA/IMPERM/COMPLEM;TINTA
;T CASA 01 - Matriz;2025;5;15/05/2025;VENDA CONSUMIDOR;2482;CAIXA LUZ 4X4 AMARELA;78;4,8;374,4;0;1;CARTÃO;CUPOM MANUAL;HC MARINETE;ELETRICO/ILUMINACAO;CAIXA LUZ
;T CASA 01 - Matriz;2025;7;21/07/2025;VENDA CONSUMIDOR;6064;MASSA ACRILICA 20KG VERCRYL;3;124,8;374,4;0;1;CARTÃO;CUPOM MANUAL;HC FRANCISCO;TINTA/IMPERM/COMPLEM;MASSA ACRILICA
;T CASA 01 - Matriz;2025;8;30/08/2025;VENDA CONSUMIDOR;7737;LAMPADA LED TUBOLAR T8 20,5W 3000K;26;14,4;374,4;1,6;1;CARTÃO;DAV;HC MILTON;ELETRICO/ILUMINACAO;LAMPADA
;T CASA 01 - Matriz;2025;7;11/07/2025;CONSTRUTORA KARAJAS;11284;ESCADA ALUMINIO 6 DEGRAUS;1;374;374;0;;A PRAZO;NFDAV;HC VICENTE;UD/JARD/PRES/DECOR;ESCADA
;T CASA 01 - Matriz;2025;10;29/10/2025;ECONOMICO COMERCIO D;13348;ADESIVO PVC 850G;4;93,5;374;0;;A PRAZO;NFDAV;HC ALLAN;QUIMICOS/ADESIVOS;ADESIVO
;T CASA 01 - Matriz;2025;9;12/09/2025;VENDA CONSUMIDOR;11085;REJUNTE PISCINA AZUL CELESTE 5KG;2;186,93;373,86;20,77;2;CARTÃO;DAV;HC NAZARENO;BASICO/HIDRAULICA;REJUNTE
;T CASA 01 - Matriz;2025;5;24/05/2025;VENDA CONSUMIDOR;6288;CUBA CERAMICA REDONDA BR 40X40X16CM;1;373,8;373,8;0;2;CARTÃO;CUPOM MANUAL;HC BARBOSA;COZINHA/BANHEIROS;CUBA
;T CASA 01 - Matriz;2025;6;07/06/2025;VENDA CONSUMIDOR;3686;CUBA CERAMICA REDONDA BR 40X40X16CM;1;373,8;373,8;0;1;BANCO;CUPOM MANUAL;HC RENATO;COZINHA/BANHEIROS;CUBA
;T CASA 01 - Matriz;2025;4;08/04/2025;LIDER ENGENHARIA;9513;DISCO MAQ PORCELANATO 105X20MM - 280002;15;24,9;373,5;0;;A PRAZO;NFDAV;HC ALLAN;FERRAMENTA/MAQU/EPI;DISCO
;T CASA 01 - Matriz;2025;5;23/05/2025;LIDER ENGENHARIA;10367;MASSA PLASTICA PRETA;15;24,9;373,5;0;;A PRAZO;NFDAV;HC ALLAN;TINTA/IMPERM/COMPLEM;MASSA PLASTICA
;T CASA 01 - Matriz;2025;7;22/07/2025;SOMA MUSICA;9103;KIT BANDEJA 3P ROLO LA POLIPOP E GARFO 2;15;24,9;373,5;0;2;BANCO;DAV;HC VICENTE;TINTA/IMPERM/COMPLEM;KIT PINTURA
;T CASA 01 - Matriz;2025;4;17/04/2025;COND BOULEVARD SHOPP;9712;THINNER B52 900ML;12;31,1;373,2;2,79;;A PRAZO;NFDAV;HC VICENTE;QUIMICOS/ADESIVOS;THINNER
